Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
284019;"AGENCIA ANDORRANA ANTIDOPATGE-AGAP                                                                  ";-168,08;1;28/03/2023;"                                                  ";;
3865;"VILADOMAT SAU-ESPORTS VILADOMAT                                                                     ";-49,37;1;30/01/2024;"                                                  ";24/09/2025;"gestio de cobro"
287215;"UNGLES & COMPANYIA                                                                                  ";-31,37;1;30/04/2024;"                                                  ";;
282862;"COOPERATIVA ESCOLA ANDORRANA                                                                        ";-15,40;1;02/09/2024;"                                                  ";21/01/2022;"GESTIO DE COBRO"
100801;"CBL VALLES  / BILBAINOS                                                                             ";561,40;15;05/04/2024;"                                                  ";07/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 111,25 EUR"
287020;"COL·LEGI MARE JANER                                                                                 ";-169,79;6;13/11/2024;"                                                  ";;
282996;"EL SKY 83                                                                                           ";-78,49;1;25/01/2023;"                                                  ";;
284874;"LOGISTICA Y DISTRIBUCION ONTINYENT,S.L. CBL -461                                                    ";1708,22;15;05/05/2023;"                                                  ";;
286034;"MON MOTOR - FERNANDES CARDOSO, BRUNO ALEXANDRE                                                      ";-20,48;1;21/04/2023;"                                                  ";;
285994;"MEDICINA DE URGENCIAS Y EMERGENCIAS                                                                 ";-10,44;1;25/05/2023;"                                                  ";;
127114;"LOGISTIC COMPANY VESTA - VESTA FORWARDING, S.L.                                                     ";-4510,73;2;09/06/2023;"Vicenç Reche                                      ";;
573;"DOLQUIM, S.L.                                                                                       ";366,87;1;28/07/2023;"                                                  ";;
0;"VEL VINT-I-U, SL                                                                                    ";-361,54;5;08/02/2024;"                                                  ";17/10/2025;"gestio de cobro"
284200;"FORESTAL GROUP,S.L.U.                                                                               ";-408,15;2;09/04/2024;"Ruben Eduardo                                     ";06/03/2023;"GESTIO DE COBRO"
286223;"AND SHOCK ABSORBERS - JUAN PEDRO MARTINEZ GALVEZ                                                    ";-20,50;1;28/05/2024;"                                                  ";;
126415;"RDA PAMPLONA                                                                                        ";1421,33;8;31/12/2024;"                                                  ";16/11/2023;"PAGAMENT REBUT"
4643;"COL·LEGI SAGRADA FAMILIA                                                                            ";183,98;2;29/11/2024;"                                                  ";;
286823;"FARMACIA ARTEMISA-ESTHER MARQUEZ FERNDANDEZ                                                         ";-22,25;1;18/12/2024;"                                                  ";;
4846;"FARMACIA TRISTAINA                                                                                  ";-10,97;1;27/12/2024;"                                                  ";;
281226;"COMERÇ DOLORS                                                                                       ";-67,84;2;08/01/2025;"                                                  ";;
287401;"BONA MA SEVEIS S.L.U                                                                                ";73,92;3;13/02/2025;"                                                  ";;
