Empresa;Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
Traldisporta_Express;185809;"COFERDROZA SCOOP LTDA                                                                               ";56,14;2;30/09/2024;;;
Traldisporta_Express;187599;"FIGUERAS SEATING EUROPE ,SL                                                                         ";-649,50;1;25/12/2024;;;
Traldisporta_Express;1951;"LUIS SIMOES LOGISTICA INTEGRADA,S.A.                                                                ";33167,14;68;20/08/2023;"Josep Clauso        ";26/06/2023;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 129.62"
Traldisporta_Express;182631;"CARBO COLLBATALLE, S.L.                                                                             ";389,44;8;30/04/2024;"Anna Maria Mateo    ";20/05/2025;"Bones, he reclamat el DUA UE al remitent, la seva resposta mail adjunt, que els envios andorra sempre paga"
Traldisporta_Express;126023;"CONCEPTOQ INDUSTRIA SLU                                                                             ";5006,71;42;10/10/2024;"Anna Maria Mateo    ";13/01/2025;"SISPLAU, QUAN TINGUIS UN MOMENT POTS MIRAR AQUESTA EXP. QUAN PUGUI. GRÀCIES."
Traldisporta_Express;126415;"RDA PAMPLONA                                                                                        ";-2163,32;1;17/12/2024;"tpadmin1            ";16/11/2023;"PAGAMENT REBUT"
Traldisporta_Express;1182;"PERE PORXAS PAIRO, S.L.                                                                             ";32,00;1;20/01/2025;;;
Traldisporta_Express;287365;"CUINATS JOTRI S.L.                                                                                  ";-5,82;1;22/12/2024;;;
Traldisporta_Express;1759;"LOZANO TRANSPORTES,S.A.                                                                             ";6920,26;12;05/10/2024;"Didac Melsion       ";18/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 354.37 EUR"
Traldisporta_Express;185312;"AIMSA GRUPO TEXTIL SL                                                                               ";-1346,67;1;16/02/2023;;;
Traldisporta_Express;180153;"MONTBLANC IBERIA, S.L.U.                                                                            ";-385,03;1;10/05/2024;;;
Traldisporta_Express;284220;"TRANSARBO SL                                                                                        ";671,59;5;24/09/2024;;;
Traldisporta_Express;185767;"TRANSPORTES BAROHEVA 2012 SL                                                                        ";121,75;2;24/09/2024;;;
Traldisporta_Express;280709;"IBERTEAM DELIVERY PLUS,S.L.                                                                         ";243,94;4;15/11/2024;"Anna Maria Mateo    ";19/09/2024;"GESTIO DE COBRO"
Traldisporta_Express;184604;"VERTIV SPAIN, S.A.                                                                                  ";-714,04;1;10/10/2024;;;
Traldisporta_Express;182052;"DYNAMIC META ONE, S.L. (BLD)                                                                        ";862,60;22;25/08/2024;"Josep Pereiro       ";17/10/2023;"Bona tarda us arribat aquesta expedició"
Traldisporta_Express;287564;"MENSIB UNO S.L.                                                                                     ";-108,59;1;07/02/2025;;;
Traldisporta_Express;1298;"KUEHNE & NAGEL, S.A.  (KN)                                                                          ";1407,79;7;25/11/2024;"Josep Pereiro       ";25/06/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 60,48 EUR"
Traldisporta_Express;127061;"BIOMASA ECO-FORESTAL DE VILLACAÑAS SLU                                                              ";-279,93;1;04/04/2025;;;
Traldisporta_Express;188084;"AIWA EUROPE,S.L.                                                                                    ";283,18;1;12/07/2025;;;
Traldisporta_Express;282516;"G-STAR RAW CV                                                                                       ";-6858,79;1;19/08/2025;;;
Traldisporta_Express;3402;"RECKITT BENCKISER ESPAÑA,S.L. (RB)                                                                  ";6283,84;19;25/05/2024;;;
Traldisporta_Express;182742;"SMART BOUTIQUE, S.L.                                                                                ";99,34;1;09/09/2024;;;
Traldisporta_Express;3578;"GRUPO TOTAL 2000, S.A.                                                                              ";39,69;1;10/12/2024;"Anna Maria Mateo    ";17/09/2024;"GESTIONS COBRO"
Traldisporta_Express;188801;"ASECOMEX LOGISTIC S.A                                                                               ";-119,75;1;09/02/2025;"Anna Maria Mateo    ";21/01/2025;"GESTIO DE COBRO"
Traldisporta_Express;6186;"DB SCHENKER TARRAGONA                                                                               ";25,00;1;25/03/2025;;;
Traldisporta_Express;187248;"REDD PARTS, S.L.U.                                                                                  ";55,35;2;20/02/2025;;;
Traldisporta_Express;599;"COSMOPARTNER,S.A.                                                                                   ";124,32;7;25/03/2025;;;
Traldisporta_Express;183208;"DHL GLOBAL FORWARDING SPAIN, S.L.                                                                   ";344,58;2;30/11/2024;"Paula Alvariza      ";14/06/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 3006,34"
