Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
100801;"CBL VALLES  / BILBAINOS                                                                             ";-26,78;9;;"Paula Alvariza      ";07/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 111,25 EUR"
287020;"COL·LEGI MARE JANER                                                                                 ";-169,79;6;;;;
126415;"RDA PAMPLONA                                                                                        ";1421,33;8;;;;
4643;"COL·LEGI SAGRADA FAMILIA                                                                            ";183,98;2;;;;
286823;"FARMACIA ARTEMISA-ESTHER MARQUEZ FERNDANDEZ                                                         ";-22,25;1;;;;
4846;"FARMACIA TRISTAINA                                                                                  ";-10,97;1;;;;
281226;"COMERÇ DOLORS                                                                                       ";-67,84;2;;;;
287401;"BONA MA SEVEIS S.L.U                                                                                ";73,92;3;;;;
182633;"SD BLOC VALIRA, S.L.U. PELOSTOP                                                                     ";-35,46;1;;"Paula Alvariza      ";15/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 330,40 EUR"
0;"FEDERACIO ANDORRANA DE VOLEIVOL                                                                     ";-249,74;5;25/03/2025;"Anna Maria Mateo    ";19/09/2025;"gestio de cobro"
203;"CBL MADRID                                                                                          ";-133,11;1;;;;
2697;"FEDEX EXPRESS SPAIN,S.L.U.                                                                          ";0,00;4;;"Didac Melsion       ";19/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 108.15 EUR"
283225;"GATZARA ESPECTACLES,S.L.                                                                            ";0,00;2;;;;
285223;"BABY BLUE CAPITAL, S.L.U.                                                                           ";10417,54;2;;"Anna Maria Mateo    ";24/02/2025;"GESTIO DE COBRO"
3930;"BELLACER, S.A.                                                                                      ";12,26;1;;"Carles Porta Miró   ";30/01/2025;"GESTIO COBRO"
284887;"CBL ILLESCAS 281                                                                                    ";218,16;2;;"Anna Maria Mateo    ";25/02/2025;"GESTIO DE COBRO"
125356;"VIA CATALANA,S.L.                                                                                   ";750,00;1;;"Anna Maria Mateo    ";19/08/2025;"gestio de cobro"
