Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
284019;"AGENCIA ANDORRANA ANTIDOPATGE-AGAP                                                                  ";-168,08;1;28/03/2023;;;
3865;"VILADOMAT SAU-ESPORTS VILADOMAT                                                                     ";-49,37;1;30/01/2024;"Jordi Porta         ";24/10/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 53.21 EUR"
287215;"UNGLES & COMPANYIA                                                                                  ";-31,37;1;30/04/2024;;;
282862;"COOPERATIVA ESCOLA ANDORRANA                                                                        ";-15,40;1;02/09/2024;"Anna Maria Mateo    ";21/01/2022;"GESTIO DE COBRO"
100801;"CBL VALLES  / BILBAINOS                                                                             ";204,35;13;05/09/2024;"Paula Alvariza      ";07/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 111,25 EUR"
287020;"COL·LEGI MARE JANER                                                                                 ";-169,79;6;30/04/2025;;;
282996;"EL SKY 83                                                                                           ";-78,49;1;25/01/2023;;;
284874;"LOGISTICA Y DISTRIBUCION ONTINYENT,S.L. CBL -461                                                    ";1708,22;15;05/12/2023;;;
286034;"MON MOTOR - FERNANDES CARDOSO, BRUNO ALEXANDRE                                                      ";-20,48;1;21/04/2023;;;
285994;"MEDICINA DE URGENCIAS Y EMERGENCIAS                                                                 ";-10,44;1;25/05/2023;;;
127114;"LOGISTIC COMPANY VESTA - VESTA FORWARDING, S.L.                                                     ";-4510,73;2;14/06/2023;;;
573;"DOLQUIM, S.L.                                                                                       ";366,87;1;28/07/2023;;;
0;"VEL VINT-I-U, SL                                                                                    ";-347,10;6;31/07/2025;"Anna Maria Mateo    ";22/09/2025;"gestio de cobro"
284200;"FORESTAL GROUP,S.L.U.                                                                               ";-408,15;2;09/05/2024;"Anna Maria Mateo    ";06/03/2023;"GESTIO DE COBRO"
286223;"AND SHOCK ABSORBERS - JUAN PEDRO MARTINEZ GALVEZ                                                    ";-20,50;1;28/05/2024;;;
126415;"RDA PAMPLONA                                                                                        ";1421,33;8;31/12/2024;"tpadmin1            ";16/11/2023;"PAGAMENT REBUT"
4643;"COL·LEGI SAGRADA FAMILIA                                                                            ";183,98;2;29/11/2024;;;
286823;"FARMACIA ARTEMISA-ESTHER MARQUEZ FERNDANDEZ                                                         ";-22,25;1;18/12/2024;;;
4846;"FARMACIA TRISTAINA                                                                                  ";-10,97;1;27/12/2024;;;
281226;"COMERÇ DOLORS                                                                                       ";-67,84;2;08/01/2025;;;
287401;"BONA MA SEVEIS S.L.U                                                                                ";73,92;3;31/07/2025;;;
182633;"SD BLOC VALIRA, S.L.U. PELOSTOP                                                                     ";461,44;3;25/12/2023;"Paula Alvariza      ";15/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 330,40 EUR"
203;"CBL MADRID                                                                                          ";-133,11;1;25/07/2025;"Carles Porta Miró   ";09/09/2024;"gestio de cobro"
2697;"FEDEX EXPRESS SPAIN,S.L.U.                                                                          ";-205,40;10;21/08/2025;"Didac Melsion       ";19/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 108.15 EUR"
285223;"BABY BLUE CAPITAL, S.L.U.                                                                           ";10417,54;2;14/08/2025;"Anna Maria Mateo    ";24/02/2025;"GESTIO DE COBRO"
184320;"CAT ESPAÑA LOG. CARGO, S.L.U.                                                                       ";15457,98;4;31/07/2022;"Josep Clauso        ";29/09/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 1.205,64 EUR"
100802;"CTM COMERCIAL MARITIMA,S.L.                                                                         ";2739,34;3;31/12/2022;"Paula Alvariza      ";22/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 492,86 EUR"
284891;"CTM DE LEVANTE,S.L. CBL -460-                                                                       ";1186,92;5;31/01/2023;"Carles Porta Miró   ";22/11/2022;"RECLAMACIO COBRO"
284192;"AIGUA PURA ANDORRA                                                                                  ";-2447,68;2;30/04/2023;"Anna Maria Mateo    ";18/06/2024;"GESTIO DE COBRO"
127814;"TRANSPORTES BILBAINOS VIZCAIA,S.L. CBL-480-                                                         ";209,74;6;30/11/2023;;;
127808;"POLITRANS RUTA 40,S.L.U. CBL-500-                                                                   ";145,61;3;31/07/2024;;;
127812;"TRANSPORTES URGENTES DE ASTURIAS,S.L. CBL-330-                                                      ";180,81;6;11/05/2024;;;
280018;"EDITORIAL PLANETA,S.A.                                                                              ";1526,88;5;31/07/2025;"Carles Porta Miró   ";25/11/2022;"GESTIO COBROS"
