Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
185809;"COFERDROZA SCOOP LTDA                                                                               ";56,14;2;;;;
187599;"FIGUERAS SEATING EUROPE ,SL                                                                         ";-649,50;1;;;;
1951;"LUIS SIMOES LOGISTICA INTEGRADA,S.A.                                                                ";33167,14;68;05/04/2025;"Josep Clauso        ";26/06/2023;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 129.62"
182631;"CARBO COLLBATALLE, S.L.                                                                             ";389,44;8;;"Anna Maria Mateo    ";20/05/2025;"Bones, he reclamat el DUA UE al remitent, la seva resposta mail adjunt, que els envios andorra sempre paga"
126023;"CONCEPTOQ INDUSTRIA SLU                                                                             ";5006,71;42;30/09/2024;"Anna Maria Mateo    ";13/01/2025;"SISPLAU, QUAN TINGUIS UN MOMENT POTS MIRAR AQUESTA EXP. QUAN PUGUI. GRÀCIES."
126415;"RDA PAMPLONA                                                                                        ";-2163,32;1;;"tpadmin1            ";16/11/2023;"PAGAMENT REBUT"
1182;"PERE PORXAS PAIRO, S.L.                                                                             ";32,00;1;;;;
287365;"CUINATS JOTRI S.L.                                                                                  ";-5,82;1;;;;
2055;"MESA SEU,S.L.                                                                                       ";4,97;3;;;;
1759;"LOZANO TRANSPORTES,S.A.                                                                             ";6920,26;12;;"Didac Melsion       ";18/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 354.37 EUR"
185312;"AIMSA GRUPO TEXTIL SL                                                                               ";-1346,67;1;;;;
180153;"MONTBLANC IBERIA, S.L.U.                                                                            ";-385,03;1;;;;
284220;"TRANSARBO SL                                                                                        ";671,59;5;;;;
185767;"TRANSPORTES BAROHEVA 2012 SL                                                                        ";121,75;2;;;;
280709;"IBERTEAM DELIVERY PLUS,S.L.                                                                         ";243,94;4;;"Anna Maria Mateo    ";19/09/2024;"GESTIO DE COBRO"
184604;"VERTIV SPAIN, S.A.                                                                                  ";-714,04;1;;;;
182052;"DYNAMIC META ONE, S.L. (BLD)                                                                        ";862,60;22;26/08/2024;"Josep Pereiro       ";17/10/2023;"Bona tarda us arribat aquesta expedició"
287564;"MENSIB UNO S.L.                                                                                     ";-108,59;1;;;;
1298;"KUEHNE & NAGEL, S.A.  (KN)                                                                          ";1407,79;7;29/05/2025;"Josep Pereiro       ";25/06/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 60,48 EUR"
127061;"BIOMASA ECO-FORESTAL DE VILLACAÑAS SLU                                                              ";-279,93;1;;;;
188084;"AIWA EUROPE,S.L.                                                                                    ";283,18;1;;;;
282516;"G-STAR RAW CV                                                                                       ";-6858,79;1;;;;
3402;"RECKITT BENCKISER ESPAÑA,S.L. (RB)                                                                  ";6283,84;19;;;;
